shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10009,43.426675,-80.527507,340004
10009,43.426675,-80.527507,350001
10009,43.426157,-80.527123,350002
10009,43.425992,-80.526960,350003
10009,43.425749,-80.526502,350004
10009,43.425685,-80.526423,350005
10009,43.425685,-80.526423,360001
10009,43.425610,-80.526327,360002
10009,43.425367,-80.526138,360003
10009,43.424709,-80.525703,360004
10009,43.424381,-80.525479,360005
10009,43.424075,-80.525286,360006
10009,43.423777,-80.524970,360007
10009,43.423777,-80.524970,370001
10009,43.423527,-80.524705,370002
10009,43.423112,-80.524244,370003
10009,43.422943,-80.524014,370004
10009,43.422807,-80.523747,370005
10009,43.422706,-80.523452,370006
10009,43.422644,-80.523138,370007
10009,43.422644,-80.522706,370008
10009,43.422644,-80.522706,380001
10009,43.422644,-80.521945,380002
10009,43.422580,-80.521532,380003
10009,43.422499,-80.521369,380004
10009,43.422182,-80.520959,380005
10009,43.421923,-80.521410,380006
10009,43.421799,-80.521787,380007
10009,43.421600,-80.522353,380008
10009,43.421600,-80.522353,390001
10009,43.421443,-80.522803,390002
10009,43.421095,-80.523781,390003
10009,43.420740,-80.524791,390004
10009,43.420643,-80.525059,390005
10009,43.420643,-80.525059,400001
10009,43.420009,-80.526802,400002
10009,43.419759,-80.527518,400003
10009,43.419546,-80.528117,400004
10009,43.419483,-80.528467,400005
10009,43.419494,-80.528710,400006
10009,43.419494,-80.528710,410001
10009,43.419505,-80.528945,410002
10009,43.419653,-80.529339,410003
10009,43.419857,-80.529697,410004
10009,43.419688,-80.529907,410005
10009,43.419550,-80.530155,410006
10009,43.419445,-80.530433,410007
10009,43.419365,-80.530855,410008
10009,43.419199,-80.532731,410009
10009,43.419114,-80.533123,410010
10009,43.418838,-80.533886,410011
10009,43.418485,-80.534893,410012
10009,43.418405,-80.535351,410013
10009,43.418405,-80.535351,420001
10009,43.418386,-80.535462,420002
10009,43.418367,-80.536048,420003
10009,43.418417,-80.536542,420004
10009,43.418472,-80.536786,420005
10009,43.418625,-80.537251,420006
