stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1250,1250,Queen / Adam,,  43.431182, -80.311248,,,0,,1
1251,1251,Queen / Harvey,,  43.429298, -80.315297,,,0,,1
1252,1252,Queen / Winston,,  43.427545, -80.318850,,,0,,1
1253,1253,Queen / Shepherd,,  43.422567, -80.325157,,,0,,1
1254,1254,Queen / Shepherd,,  43.423246, -80.324235,,,0,,1
1255,1255,Kumpf / Northfield,,  43.498599, -80.542687,,,0,,1
1256,1256,Northfield / Kumpf,,  43.497816, -80.544335,,,0,,1
1257,1257,Northfield / Kumpf,,  43.497645, -80.544040,,,0,,1
1258,1258,Franklin / Thomas,,  43.424341, -80.310053,,,0,,1
1259,1259,Franklin / Edward,,  43.427023, -80.309849,,,0,,1
1265,1265,Winston / Cooper,,  43.422128, -80.292845,,,0,,1
1266,1266,Winston / Darren,,  43.421322, -80.297795,,,0,,1
1267,1267,Winston / Karl,,  43.421761, -80.301929,,,0,,1
1268,1268,Winston / Gunn,,  43.421371, -80.304453,,,0,,1
1269,1269,Winston / Westbury,,  43.421738, -80.307093,,,0,,1
1270,1270,Caroline / Willis Way Station,,  43.462101, -80.523304,,,0,,1
1271,1271,William / King,,  43.461927, -80.520997,,,0,,1
1274,1274,Queen / Rooshill,,  43.424285, -80.323334,,,0,,1
1275,1275,Bishop / Collier-Macmillan,,  43.395862, -80.320330,,,0,,1
1276,1276,Groh / Holiday Inn,,  43.419159, -80.325985,,,0,,1
1277,1277,Ottawa / Lackner,,  43.456710, -80.431618,,,0,,1
1278,1278,Groh / Holiday Inn,,  43.419115, -80.326121,,,0,,1
1279,1279,Can-Amera / Conestoga,,  43.390834, -80.312318,,,0,,1
1280,1280,Can-Amera / Conestoga,,  43.390707, -80.312086,,,0,,1
1281,1281,Franklin / Adam,,  43.429888, -80.308811,,,0,,1
1282,1282,Eagle / Whitley,,  43.404665, -80.348203,,,0,,1
1283,1283,Eagle / Shettleston,,  43.404090, -80.351704,,,0,,1
1284,1284,Eagle / Laurel,,  43.403577, -80.354822,,,0,,1
1287,1287,Maple Grove / Saltsman,,  43.421727, -80.383558,,,0,,1
1288,1288,Maple Grove / Cherry Blossom,,  43.417147, -80.386798,,,0,,1
1289,1289,Laurel / Eagle,,  43.403319, -80.355467,,,0,,1
1290,1290,Eagle / Arlington,,  43.403974, -80.351903,,,0,,1
1291,1291,Fisher Mills / Scott,,  43.435349, -80.320880,,,0,,1
1293,1293,Medical Centre At The Boardwalk,,  43.440029, -80.565105,,,0,,1
1294,1294,Holiday Inn / Tri-City Centre,,  43.417366, -80.324300,,,0,,1
1295,1295,Holiday Inn / 200 Block,,  43.416395, -80.321408,,,0,,1
1296,1296,Fisher Mills / Scott,,  43.435358, -80.319992,,,0,,1
1297,1297,Jacob Hespeler S.S.,,  43.417190, -80.315940,,,0,,1
1298,1298,Holiday Inn / Franklin,,  43.417983, -80.311422,,,0,,1
1299,1299,Tannery / Queen,,  43.431584, -80.309254,,,0,,1
1300,1300,Guelph / Sheffield,,  43.434443, -80.311532,,,0,,1
1301,1301,Fisher Mills / Fearnwood,,  43.436422, -80.314836,,,0,,1
1302,1302,Scott / Fisher Mills,,  43.435742, -80.320425,,,0,,1
1303,1303,Scott / Nickolas,,  43.437517, -80.321073,,,0,,1
1304,1304,Scott / Milton,,  43.439052, -80.320241,,,0,,1
1305,1305,Poplar / Scott,,  43.441412, -80.317422,,,0,,1
1306,1306,Poplar / Dawn,,  43.445412, -80.316203,,,0,,1
1307,1307,Guelph / Fisher Mills,,  43.436950, -80.312171,,,0,,1
1308,1308,Guelph / Sheffield,,  43.434913, -80.311724,,,0,,1
1309,1309,Adam / Tannery,,  43.430480, -80.309761,,,0,,1
1310,1310,Franklin / Shamrock,,  43.429102, -80.309653,,,0,,1
1311,1311,Bishop / Franklin,,  43.398085, -80.305136,,,0,,1
1312,1312,Franklin / Thomas,,  43.424333, -80.310213,,,0,,1
1314,1314,Highland / Westforest,,  43.425305, -80.543980,,,0,,1
1315,1315,Jacob Hespeler S.S.,,  43.417204, -80.316631,,,0,,1
1316,1316,Holiday Inn / 200 Block,,  43.416504, -80.321543,,,0,,1
1317,1317,Heritage Bible College,,  43.417510, -80.324274,,,0,,1
1318,1318,Conestoga / Lena,,  43.392677, -80.315289,,,0,,1
1319,1319,G.R.T. Conestoga Garage,,  43.394837, -80.316673,,,0,,1
1320,1320,Bishop / Collier-Macmillan,,  43.395933, -80.320846,,,0,,1
1321,1321,Bishop / Hespeler,,  43.394990, -80.325759,,,0,,1
1322,1322,Industrial / Bishop,,  43.394785, -80.329244,,,0,,1
1323,1323,Industrial / 1300 Block,,  43.396499, -80.329768,,,0,,1
1324,1324,Industrial / 900S Block,,  43.402381, -80.331580,,,0,,1
1325,1325,Eagle / Hespeler,,  43.407797, -80.328623,,,0,,1
1326,1326,Pinebush / Conestoga,,  43.409041, -80.321561,,,0,,1
1327,1327,Pinebush / High Ridge,,  43.409912, -80.316911,,,0,,1
1328,1328,Bishop / 1500 Block,,  43.397357, -80.309169,,,0,,1
1329,1329,Pinebush / Balmoral,,  43.412681, -80.301267,,,0,,1
1330,1330,Pinebush / 300 Block,,  43.413105, -80.298446,,,0,,1
1331,1331,Pinebush / Fleming,,  43.413704, -80.294870,,,0,,1
1332,1332,Fleming / Thompson,,  43.410003, -80.293467,,,0,,1
1333,1333,Fleming / Sheldon,,  43.408785, -80.293074,,,0,,1
1334,1334,Oldfield / Ottawa,,  43.455327, -80.431944,,,0,,1
1335,1335,Sheldon / Balmoral,,  43.407295, -80.301132,,,0,,1
1336,1336,Sheldon / Franklin,,  43.406191, -80.307653,,,0,,1
1337,1337,Sheldon / Wolseley,,  43.403203, -80.312404,,,0,,1
1338,1338,Sheldon / Corydon,,  43.403142, -80.315678,,,0,,1
1339,1339,Conestoga / Sheldon,,  43.402038, -80.319259,,,0,,1
1340,1340,Conestoga / 500 Block,,  43.400305, -80.318550,,,0,,1
1341,1341,Conestoga / Bishop,,  43.396662, -80.317689,,,0,,1
1343,1343,Can-Amera / Franklin,,  43.393565, -80.304327,,,0,,1
1344,1344,Saginaw / Green Vista,,  43.390815, -80.299284,,,0,,1
1345,1345,Saginaw / Cowan,,  43.389580, -80.296199,,,0,,1
1346,1346,Saginaw / Stonecairn,,  43.390136, -80.292859,,,0,,1
1347,1347,Saginaw / Chamberlin,,  43.389995, -80.288946,,,0,,1
1348,1348,Saginaw / Burnett,,  43.389541, -80.285482,,,0,,1
1349,1349,Saginaw / Light,,  43.390162, -80.282536,,,0,,1
1350,1350,Saginaw / Granite Hill,,  43.393490, -80.277743,,,0,,1
1351,1351,Bishop / Franklin,,  43.398263, -80.305265,,,0,,1
1352,1352,Essex Point / Burnett,,  43.396155, -80.289171,,,0,,1
1353,1353,Bishop / 1500 Block,,  43.397505, -80.309353,,,0,,1
1354,1354,Green Vista / Whittaker,,  43.394513, -80.294536,,,0,,1
1355,1355,Burnett / Benn,,  43.384786, -80.290570,,,0,,1
1356,1356,St. Benedict C.S.S.,,  43.391615, -80.300509,,,0,,1
1357,1357,Can-Amera / Franklin,,  43.393904, -80.303854,,,0,,1
1358,1358,Dunbar / Conestoga,,  43.391380, -80.314832,,,0,,1
1359,1359,Munch / Sekura,,  43.383199, -80.317507,,,0,,1
1360,1360,Munch / Elgin,,  43.384177, -80.312434,,,0,,1
1361,1361,Elgin / Regal,,  43.382658, -80.309822,,,0,,1
1362,1362,Elgin / Ferguson,,  43.381103, -80.307272,,,0,,1
1363,1363,Glamis / Carter,,  43.381782, -80.304968,,,0,,1
1364,1364,Glamis / The Greenway,,  43.384015, -80.303461,,,0,,1
1365,1365,Glamis / Franklin,,  43.385218, -80.301459,,,0,,1
1366,1366,Robson / Burnett,,  43.386304, -80.297965,,,0,,1
1367,1367,Cowan / Robson,,  43.387126, -80.295388,,,0,,1
1368,1368,Cowan / Wallace,,  43.384176, -80.294484,,,0,,1
1369,1369,Burnett / Buchanan,,  43.383325, -80.292284,,,0,,1
1370,1370,Burnett / Drumlin,,  43.386970, -80.287447,,,0,,1
1371,1371,Saginaw / Burnett,,  43.389545, -80.285972,,,0,,1
1372,1372,Saginaw / Fairgreen,,  43.389892, -80.288305,,,0,,1
1373,1373,Saginaw / Stonecairn,,  43.390437, -80.292016,,,0,,1
1374,1374,Saginaw / Cowan,,  43.389725, -80.296321,,,0,,1
1376,1376,Charles / Benton,,  43.448610, -80.488850,,,0,,1
1378,1378,Elgin / Franklin,,  43.391386, -80.302957,,,0,,1
1379,1379,Elgin / Bushnell,,  43.391115, -80.308615,,,0,,1
1380,1380,Elgin / Glenbrook,,  43.388964, -80.311763,,,0,,1
1381,1381,Elgin / Glenbrook,,  43.387272, -80.313296,,,0,,1
